Full Date,Date ID,Day,Month,Year,Quarter,Weekday,Is_Weekend
2016-11-08,1,8,11,2016,4,Tuesday,0
2016-06-12,2,12,6,2016,2,Sunday,1
2015-10-11,3,11,10,2015,4,Sunday,1
2014-06-09,4,9,6,2014,2,Monday,0
2017-04-15,5,15,4,2017,2,Saturday,1
2016-12-05,6,5,12,2016,4,Monday,0
2015-11-22,7,22,11,2015,4,Sunday,1
2014-11-11,8,11,11,2014,4,Tuesday,0
2014-05-13,9,13,5,2014,2,Tuesday,0
2014-08-27,10,27,8,2014,3,Wednesday,0
2016-12-09,11,9,12,2016,4,Friday,0
2017-07-16,12,16,7,2017,3,Sunday,1
2015-09-25,13,25,9,2015,3,Friday,0
2016-01-16,14,16,1,2016,1,Saturday,1
2015-09-17,15,17,9,2015,3,Thursday,0
2017-10-19,16,19,10,2017,4,Thursday,0
2016-12-08,17,8,12,2016,4,Thursday,0
2015-12-27,18,27,12,2015,4,Sunday,1
2017-09-10,19,10,9,2017,3,Sunday,1
2016-07-17,20,17,7,2016,3,Sunday,1
2017-09-19,21,19,9,2017,3,Tuesday,0
2016-03-11,22,11,3,2016,1,Friday,0
2014-10-20,23,20,10,2014,4,Monday,0
2016-06-20,24,20,6,2016,2,Monday,0
2015-04-18,25,18,4,2015,2,Saturday,1
2016-12-11,26,11,12,2016,4,Sunday,1
2016-06-17,27,17,6,2016,2,Friday,0
2015-11-24,28,24,11,2015,4,Tuesday,0
2015-04-30,29,30,4,2015,2,Thursday,0
2014-12-05,30,5,12,2014,4,Friday,0
2016-06-04,31,4,6,2016,2,Saturday,1
2016-09-18,32,18,9,2016,3,Sunday,1
2017-09-14,33,14,9,2017,3,Thursday,0
2015-04-26,34,26,4,2015,2,Sunday,1
2017-12-09,35,9,12,2017,4,Saturday,1
2014-11-26,36,26,11,2014,4,Wednesday,0
2014-10-12,37,12,10,2014,4,Sunday,1
2015-09-03,38,3,9,2015,3,Thursday,0
2017-11-13,39,13,11,2017,4,Monday,0
2017-05-28,40,28,5,2017,2,Sunday,1
2017-10-26,41,26,10,2017,4,Thursday,0
2016-04-05,42,5,4,2016,2,Tuesday,0
2016-09-17,43,17,9,2016,3,Saturday,1
2015-01-31,44,31,1,2015,1,Saturday,1
2017-11-06,45,6,11,2017,4,Monday,0
2017-11-09,46,9,11,2017,4,Thursday,0
2017-06-17,47,17,6,2017,2,Saturday,1
2016-09-06,48,6,9,2016,3,Tuesday,0
2016-08-29,49,29,8,2016,3,Monday,0
2016-12-01,50,1,12,2016,4,Thursday,0
2015-11-13,51,13,11,2015,4,Friday,0
2017-11-23,52,23,11,2017,4,Thursday,0
2015-10-15,53,15,10,2015,4,Thursday,0
2017-12-25,54,25,12,2017,4,Monday,0
2016-11-03,55,3,11,2016,4,Thursday,0
2014-08-25,56,25,8,2014,3,Monday,0
2015-03-02,57,2,3,2015,1,Monday,0
2015-04-05,58,5,4,2015,2,Sunday,1
2014-12-26,59,26,12,2014,4,Friday,0
2014-09-20,60,20,9,2014,3,Saturday,1
2017-11-05,61,5,11,2017,4,Sunday,1
2016-11-06,62,6,11,2016,4,Sunday,1
2017-02-02,63,2,2,2017,1,Thursday,0
2016-10-13,64,13,10,2016,4,Thursday,0
2016-09-05,65,5,9,2016,3,Monday,0
2017-09-18,66,18,9,2017,3,Monday,0
2017-12-22,67,22,12,2017,4,Friday,0
2015-09-07,68,7,9,2015,3,Monday,0
2014-10-22,69,22,10,2014,4,Wednesday,0
2016-03-13,70,13,3,2016,1,Sunday,1
2015-05-31,71,31,5,2015,2,Sunday,1
2015-05-28,72,28,5,2015,2,Thursday,0
2014-03-01,73,1,3,2014,1,Saturday,1
2016-11-20,74,20,11,2016,4,Sunday,1
2016-05-11,75,11,5,2016,2,Wednesday,0
2015-12-28,76,28,12,2015,4,Monday,0
2016-11-16,77,16,11,2016,4,Wednesday,0
2016-11-07,78,7,11,2016,4,Monday,0
2014-09-08,79,8,9,2014,3,Monday,0
2014-08-05,80,5,8,2014,3,Tuesday,0
2014-09-14,81,14,9,2014,3,Sunday,1
2017-04-21,82,21,4,2017,2,Friday,0
2015-11-21,83,21,11,2015,4,Saturday,1
2015-12-15,84,15,12,2015,4,Tuesday,0
2014-11-19,85,19,11,2014,4,Wednesday,0
2016-11-28,86,28,11,2016,4,Monday,0
2014-08-26,87,26,8,2014,3,Tuesday,0
2016-07-16,88,16,7,2016,3,Saturday,1
2015-10-12,89,12,10,2015,4,Monday,0
2015-10-31,90,31,10,2015,4,Saturday,1
2014-03-21,91,21,3,2014,1,Friday,0
2017-07-06,92,6,7,2017,3,Thursday,0
2017-06-24,93,24,6,2017,2,Saturday,1
2014-08-03,94,3,8,2014,3,Sunday,1
2017-12-17,95,17,12,2017,4,Sunday,1
2017-06-03,96,3,6,2017,2,Saturday,1
2017-12-01,97,1,12,2017,4,Friday,0
2015-02-09,98,9,2,2015,1,Monday,0
2015-01-02,99,2,1,2015,1,Friday,0
2016-10-28,100,28,10,2016,4,Friday,0
2015-12-24,101,24,12,2015,4,Thursday,0
2015-08-09,102,9,8,2015,3,Sunday,1
2015-02-28,103,28,2,2015,1,Saturday,1
