Row ID,Order ID,Product ID,Customer ID,Order Date ID,Ship Date ID,Ship Mode ID,Location ID,Sales,Quantity,Discount,Revenue_Before_Discount,Profit,Profit_Margin,Ship_Duration,High_Discount_Flag
1,CA-2016-152156,FUR-BO-10001798,CG-12520,1,584,1,1,261.96,2,0.0,261.96,41.9136,0.16000000000000003,3,0
2,CA-2016-152156,FUR-CH-10000454,CG-12520,1,584,1,1,731.94,3,0.0,731.94,219.582,0.3,3,0
3,CA-2016-138688,OFF-LA-10000240,DV-13045,2,951,1,2,14.62,2,0.0,14.62,6.8714,0.47000000000000003,4,0
4,US-2015-108966,FUR-TA-10000577,SO-20335,3,1091,2,3,957.5775,5,0.45,1741.0499999999997,-383.031,-0.4,7,1
5,US-2015-108966,OFF-ST-10000760,SO-20335,3,1091,2,3,22.368,2,0.2,27.959999999999997,2.5164,0.1125,7,0
6,CA-2014-115812,FUR-FU-10001487,BH-11710,4,1028,2,4,48.86,7,0.0,48.86,14.1694,0.29,5,0
7,CA-2014-115812,OFF-AR-10002833,BH-11710,4,1028,2,4,7.28,4,0.0,7.28,1.9656,0.27,5,0
8,CA-2014-115812,TEC-PH-10002275,BH-11710,4,1028,2,4,907.152,6,0.2,1133.94,90.7152,0.09999999999999999,5,0
9,CA-2014-115812,OFF-BI-10003910,BH-11710,4,1028,2,4,18.504,3,0.2,23.13,5.7825,0.31249999999999994,5,0
10,CA-2014-115812,OFF-AP-10002892,BH-11710,4,1028,2,4,114.9,5,0.0,114.9,34.47,0.3,5,0
11,CA-2014-115812,FUR-TA-10001539,BH-11710,4,1028,2,4,1706.184,9,0.2,2132.73,85.3092,0.05,5,0
12,CA-2014-115812,TEC-PH-10002033,BH-11710,4,1028,2,4,911.424,4,0.2,1139.28,68.3568,0.07500000000000001,5,0
13,CA-2017-114412,OFF-PA-10002365,AA-10480,5,694,2,5,15.552,3,0.2,19.439999999999998,5.4432,0.35000000000000003,5,0
14,CA-2016-161389,OFF-BI-10003656,IM-15070,6,108,2,6,407.976,3,0.2,509.96999999999997,132.5922,0.32499999999999996,5,0
15,US-2015-118983,OFF-AP-10002311,HP-14815,7,651,2,7,68.81,5,0.8,344.05000000000007,-123.858,-1.8,4,1
16,US-2015-118983,OFF-BI-10000756,HP-14815,7,651,2,7,2.544,3,0.8,12.720000000000002,-3.816,-1.5,4,1
17,CA-2014-105893,OFF-ST-10004186,PK-19075,8,729,2,8,665.88,6,0.0,665.88,13.3176,0.02,7,0
18,CA-2014-167164,OFF-ST-10000107,AG-10270,9,1238,1,9,55.5,2,0.0,55.5,9.99,0.18,2,0
19,CA-2014-143336,OFF-AR-10003056,ZD-21925,10,417,1,10,8.56,2,0.0,8.56,2.4824,0.29,5,0
20,CA-2014-143336,TEC-PH-10001949,ZD-21925,10,417,1,10,213.48,3,0.2,266.84999999999997,16.011,0.075,5,0
21,CA-2014-143336,OFF-BI-10002215,ZD-21925,10,417,1,10,22.72,4,0.2,28.4,7.384,0.325,5,0
22,CA-2016-137330,OFF-AR-10000246,KB-16585,11,181,2,11,19.46,7,0.0,19.46,5.0596,0.25999999999999995,4,0
23,CA-2016-137330,OFF-AP-10001492,KB-16585,11,181,2,11,60.34,7,0.0,60.34,15.6884,0.25999999999999995,4,0
24,US-2017-156909,FUR-CH-10002774,SF-20065,12,931,1,12,71.372,2,0.3,101.96000000000001,-1.0196,-0.014285714285714287,2,1
25,CA-2015-106320,FUR-TA-10000577,EB-13870,13,1239,2,13,1044.63,3,0.0,1044.63,240.2649,0.22999999999999998,5,0
26,CA-2016-121755,OFF-BI-10001634,EH-13945,14,1240,1,14,11.648,2,0.2,14.559999999999999,4.2224,0.36250000000000004,4,0
27,CA-2016-121755,TEC-AC-10003027,EH-13945,14,1240,1,14,90.57,3,0.0,90.57,11.7741,0.13,4,0
28,US-2015-150630,FUR-BO-10004834,TB-21520,15,482,2,12,3083.43,7,0.5,6166.86,-1665.0522,-0.54,4,1
29,US-2015-150630,OFF-BI-10000474,TB-21520,15,482,2,12,9.618,2,0.7,32.059999999999995,-7.0532,-0.7333333333333334,4,1
30,US-2015-150630,FUR-FU-10004848,TB-21520,15,482,2,12,124.2,3,0.2,155.25,15.525,0.125,4,0
31,US-2015-150630,OFF-EN-10001509,TB-21520,15,482,2,12,3.264,2,0.2,4.079999999999999,1.1016,0.3375,4,0
32,US-2015-150630,OFF-AR-10004042,TB-21520,15,482,2,12,86.304,6,0.2,107.88,9.7092,0.11249999999999999,4,0
33,US-2015-150630,OFF-BI-10001525,TB-21520,15,482,2,12,6.858,6,0.7,22.859999999999996,-5.715,-0.8333333333333334,4,1
34,US-2015-150630,OFF-AR-10001683,TB-21520,15,482,2,12,15.76,2,0.2,19.7,3.546,0.22499999999999998,4,0
35,CA-2017-107727,OFF-PA-10000249,MA-17560,16,437,1,15,29.472,3,0.2,36.839999999999996,9.9468,0.33749999999999997,4,0
